"table_schema","table_name","column_name","data_type"
"public","campaign","company_name","character varying"
"public","campaign","category_id","character varying"
"public","campaign","contact_id","integer"
"public","campaign","goal","double precision"
"public","campaign","pledged","double precision"
"public","campaign","backers_count","integer"
"public","campaign","launch_date","date"
"public","campaign","end_date","date"
"public","campaign","subcategory_id","character varying"
"public","campaign","cf_id","integer"
"public","campaign","outcome","character varying"
"public","campaign","description","character varying"
"public","campaign","country","character varying"
"public","campaign","currency","character varying"
"public","category","category","character varying"
"public","category","category_id","character varying"
"public","contact","last_name","character varying"
"public","contact","email","character varying"
"public","contact","first_name","character varying"
"public","contact","contact_id","integer"
"public","subcategory","subcategory","character varying"
"public","subcategory","subcategory_id","character varying"
